,Actual Total Load [MW] - Sweden (SE),Actual Total Load [MW] - Denmark (DK),Actual Total Load [MW] - Norway (NO)
2017-01-01 00:00:00+00:00,14207,2812,14912
2017-01-01 01:00:00+00:00,13942,2743,14786
2017-01-01 02:00:00+00:00,13703,2595,14638
2017-01-01 03:00:00+00:00,13630,2494,14442
2017-01-01 04:00:00+00:00,13525,2482,14392
2017-01-01 05:00:00+00:00,13584,2484,14530
2017-01-01 06:00:00+00:00,13747,2527,14826
2017-01-01 07:00:00+00:00,14014,2633,14964
2017-01-01 08:00:00+00:00,14271,2755,15253
2017-01-01 09:00:00+00:00,14647,2923,15702
2017-01-01 10:00:00+00:00,15311,3161,16202
2017-01-01 11:00:00+00:00,15882,3318,16449
2017-01-01 12:00:00+00:00,16207,3380,16570
2017-01-01 13:00:00+00:00,16455,3361,16516
2017-01-01 14:00:00+00:00,16781,3386,16688
2017-01-01 15:00:00+00:00,17273,3469,17128
2017-01-01 16:00:00+00:00,17931,3773,17480
2017-01-01 17:00:00+00:00,18027,4104,17626
2017-01-01 18:00:00+00:00,17846,4032,17643
2017-01-01 19:00:00+00:00,17572,3821,17606
2017-01-01 20:00:00+00:00,17159,3545,17443
2017-01-01 21:00:00+00:00,16645,3317,17280
2017-01-01 22:00:00+00:00,16125,3082,16883
2017-01-01 23:00:00+00:00,15744,2820,16534
2017-01-02 00:00:00+00:00,15654,2647,16071
2017-01-02 01:00:00+00:00,15615,2538,15823
2017-01-02 02:00:00+00:00,15664,2528,15939
2017-01-02 03:00:00+00:00,15762,2537,15991
2017-01-02 04:00:00+00:00,15923,2657,16239
2017-01-02 05:00:00+00:00,16691,2928,16706
2017-01-02 06:00:00+00:00,18522,3556,17865
2017-01-02 07:00:00+00:00,20616,4270,19437
2017-01-02 08:00:00+00:00,21251,4631,20131
2017-01-02 09:00:00+00:00,21503,4694,20292
2017-01-02 10:00:00+00:00,21785,4758,20570
2017-01-02 11:00:00+00:00,21692,4671,20408
2017-01-02 12:00:00+00:00,21706,4514,20267
2017-01-02 13:00:00+00:00,21656,4524,20131
2017-01-02 14:00:00+00:00,21763,4467,20288
2017-01-02 15:00:00+00:00,22322,4473,20550
2017-01-02 16:00:00+00:00,22703,4795,20908
2017-01-02 17:00:00+00:00,22621,5234,20796
2017-01-02 18:00:00+00:00,22254,5006,20439
2017-01-02 19:00:00+00:00,22023,4684,20270
2017-01-02 20:00:00+00:00,21442,4356,19982
2017-01-02 21:00:00+00:00,20784,4077,19665
2017-01-02 22:00:00+00:00,19914,3727,19073
2017-01-02 23:00:00+00:00,18971,3444,18237
2017-01-03 00:00:00+00:00,18447,3172,17609
2017-01-03 01:00:00+00:00,17968,2998,17075
2017-01-03 02:00:00+00:00,17872,2866,16892
2017-01-03 03:00:00+00:00,17817,2853,16884
2017-01-03 04:00:00+00:00,17856,2910,17000
2017-01-03 05:00:00+00:00,18545,3108,17307
2017-01-03 06:00:00+00:00,20145,3653,18675
2017-01-03 07:00:00+00:00,22007,4325,20350
2017-01-03 08:00:00+00:00,22699,4752,20942
2017-01-03 09:00:00+00:00,22556,4844,20775
2017-01-03 10:00:00+00:00,22801,4866,20642
2017-01-03 11:00:00+00:00,22754,4729,20556
2017-01-03 12:00:00+00:00,22598,4669,20197
2017-01-03 13:00:00+00:00,22377,4626,20233
2017-01-03 14:00:00+00:00,22561,4568,20267
2017-01-03 15:00:00+00:00,22813,4457,20539
2017-01-03 16:00:00+00:00,22676,4666,20691
2017-01-03 17:00:00+00:00,22651,4948,20705
2017-01-03 18:00:00+00:00,21928,4716,20337
2017-01-03 19:00:00+00:00,21330,4441,20006
2017-01-03 20:00:00+00:00,20746,4116,19783
2017-01-03 21:00:00+00:00,19733,3810,19388
2017-01-03 22:00:00+00:00,18800,3438,18627
2017-01-03 23:00:00+00:00,17987,3172,17893
2017-01-04 00:00:00+00:00,17657,3058,17318
2017-01-04 01:00:00+00:00,17142,2846,16838
2017-01-04 02:00:00+00:00,16914,2878,16551
2017-01-04 03:00:00+00:00,17036,2886,16639
2017-01-04 04:00:00+00:00,17430,2858,16766
2017-01-04 05:00:00+00:00,18165,3036,17480
2017-01-04 06:00:00+00:00,19670,3658,18980
2017-01-04 07:00:00+00:00,21307,4363,20653
2017-01-04 08:00:00+00:00,21988,4639,21111
2017-01-04 09:00:00+00:00,22454,4588,20930
2017-01-04 10:00:00+00:00,22785,4648,20942
2017-01-04 11:00:00+00:00,23128,4611,21017
2017-01-04 12:00:00+00:00,23305,4490,20991
2017-01-04 13:00:00+00:00,23269,4497,21110
2017-01-04 14:00:00+00:00,23444,4485,21230
2017-01-04 15:00:00+00:00,24012,4457,21339
2017-01-04 16:00:00+00:00,24263,4687,21683
2017-01-04 17:00:00+00:00,24434,5103,21814
2017-01-04 18:00:00+00:00,23959,4914,21503
2017-01-04 19:00:00+00:00,23740,4620,21395
2017-01-04 20:00:00+00:00,23151,4340,21138
2017-01-04 21:00:00+00:00,22419,4087,20694
2017-01-04 22:00:00+00:00,21591,3732,20203
2017-01-04 23:00:00+00:00,21154,3427,19357
2017-01-05 00:00:00+00:00,20253,3315,18756
2017-01-05 01:00:00+00:00,20171,3123,18500
2017-01-05 02:00:00+00:00,20222,3057,18494
2017-01-05 03:00:00+00:00,20350,3065,18575
2017-01-05 04:00:00+00:00,20665,3174,18877
2017-01-05 05:00:00+00:00,21599,3421,19348
2017-01-05 06:00:00+00:00,23244,4064,20745
2017-01-05 07:00:00+00:00,24659,4873,22530
2017-01-05 08:00:00+00:00,25628,5143,23159
2017-01-05 09:00:00+00:00,25705,5143,23143
2017-01-05 10:00:00+00:00,26273,5186,23119
2017-01-05 11:00:00+00:00,25875,5133,22842
2017-01-05 12:00:00+00:00,25596,5015,22546
2017-01-05 13:00:00+00:00,25096,5014,22337
2017-01-05 14:00:00+00:00,25346,4977,22434
2017-01-05 15:00:00+00:00,25839,4970,22714
2017-01-05 16:00:00+00:00,26333,5259,23096
2017-01-05 17:00:00+00:00,26618,5711,23011
2017-01-05 18:00:00+00:00,26365,5507,22785
2017-01-05 19:00:00+00:00,25960,5166,22480
2017-01-05 20:00:00+00:00,25034,4842,22139
2017-01-05 21:00:00+00:00,24085,4543,21638
2017-01-05 22:00:00+00:00,23082,4212,21073
2017-01-05 23:00:00+00:00,21956,3877,20233
2017-01-06 00:00:00+00:00,21784,3645,19734
2017-01-06 01:00:00+00:00,21433,3535,19395
2017-01-06 02:00:00+00:00,21092,3479,19001
2017-01-06 03:00:00+00:00,21025,3482,18915
2017-01-06 04:00:00+00:00,21120,3548,18999
2017-01-06 05:00:00+00:00,21565,3777,19263
2017-01-06 06:00:00+00:00,22360,4398,20611
2017-01-06 07:00:00+00:00,23162,5108,22325
2017-01-06 08:00:00+00:00,23559,5346,22898
2017-01-06 09:00:00+00:00,23716,5294,22703
2017-01-06 10:00:00+00:00,24039,5301,22461
2017-01-06 11:00:00+00:00,24067,5167,22266
2017-01-06 12:00:00+00:00,23922,4897,22049
2017-01-06 13:00:00+00:00,23660,4757,21883
2017-01-06 14:00:00+00:00,23599,4642,21757
2017-01-06 15:00:00+00:00,24108,4625,21709
2017-01-06 16:00:00+00:00,24489,4944,21776
2017-01-06 17:00:00+00:00,24397,5307,21588
2017-01-06 18:00:00+00:00,23855,5136,21067
2017-01-06 19:00:00+00:00,23195,4731,20798
2017-01-06 20:00:00+00:00,22306,4385,19966
2017-01-06 21:00:00+00:00,21476,4092,19392
2017-01-06 22:00:00+00:00,20533,3765,18603
2017-01-06 23:00:00+00:00,19803,3443,17869
2017-01-07 00:00:00+00:00,19410,3233,17292
2017-01-07 01:00:00+00:00,19004,3081,16801
2017-01-07 02:00:00+00:00,18829,2997,16564
2017-01-07 03:00:00+00:00,18721,2977,16427
2017-01-07 04:00:00+00:00,18786,3022,16294
2017-01-07 05:00:00+00:00,18750,3088,16382
2017-01-07 06:00:00+00:00,19232,3263,16694
2017-01-07 07:00:00+00:00,19815,3568,17205
2017-01-07 08:00:00+00:00,20615,3912,18110
2017-01-07 09:00:00+00:00,21200,4138,18744
2017-01-07 10:00:00+00:00,21369,4226,19257
2017-01-07 11:00:00+00:00,21525,4208,19368
2017-01-07 12:00:00+00:00,21559,4154,19295
2017-01-07 13:00:00+00:00,21098,4073,19099
2017-01-07 14:00:00+00:00,20893,4051,18906
2017-01-07 15:00:00+00:00,21434,4110,19024
2017-01-07 16:00:00+00:00,22292,4382,19606
2017-01-07 17:00:00+00:00,22147,4739,19801
2017-01-07 18:00:00+00:00,21677,4634,19751
2017-01-07 19:00:00+00:00,21264,4260,19491
2017-01-07 20:00:00+00:00,20947,3983,19022
2017-01-07 21:00:00+00:00,20392,3764,18613
2017-01-07 22:00:00+00:00,19701,3542,18190
2017-01-07 23:00:00+00:00,19102,3340,17768
2017-01-08 00:00:00+00:00,18600,3153,17305
2017-01-08 01:00:00+00:00,18409,2996,17168
2017-01-08 02:00:00+00:00,18159,2935,16928
2017-01-08 03:00:00+00:00,17798,2930,16795
2017-01-08 04:00:00+00:00,17875,2943,16671
2017-01-08 05:00:00+00:00,18173,3008,16793
2017-01-08 06:00:00+00:00,18272,3156,16983
2017-01-08 07:00:00+00:00,18742,3398,17312
2017-01-08 08:00:00+00:00,19367,3699,17782
2017-01-08 09:00:00+00:00,20094,3929,18355
2017-01-08 10:00:00+00:00,20834,4083,18839
2017-01-08 11:00:00+00:00,20865,4119,18903
2017-01-08 12:00:00+00:00,20748,4101,18837
2017-01-08 13:00:00+00:00,20581,4047,18779
2017-01-08 14:00:00+00:00,20721,4020,18842
2017-01-08 15:00:00+00:00,21275,4048,19055
2017-01-08 16:00:00+00:00,21894,4357,19296
2017-01-08 17:00:00+00:00,21787,4800,19280
2017-01-08 18:00:00+00:00,21498,4695,19127
2017-01-08 19:00:00+00:00,20975,4370,18991
2017-01-08 20:00:00+00:00,20343,4054,18691
2017-01-08 21:00:00+00:00,19511,3775,18417
2017-01-08 22:00:00+00:00,18735,3469,17767
2017-01-08 23:00:00+00:00,17815,3184,17140
2017-01-09 00:00:00+00:00,17576,3016,16674
2017-01-09 01:00:00+00:00,17155,2930,16396
2017-01-09 02:00:00+00:00,17056,2874,16187
2017-01-09 03:00:00+00:00,16962,2889,16193
2017-01-09 04:00:00+00:00,17006,3005,16354
2017-01-09 05:00:00+00:00,17904,3249,16937
2017-01-09 06:00:00+00:00,19413,3942,18286
2017-01-09 07:00:00+00:00,21312,4666,19804
2017-01-09 08:00:00+00:00,21560,4935,20253
2017-01-09 09:00:00+00:00,21306,4927,19992
2017-01-09 10:00:00+00:00,21677,4988,19930
2017-01-09 11:00:00+00:00,21739,4925,19693
2017-01-09 12:00:00+00:00,21563,4817,19650
2017-01-09 13:00:00+00:00,21492,4831,19758
2017-01-09 14:00:00+00:00,21600,4713,19685
2017-01-09 15:00:00+00:00,22200,4613,19758
2017-01-09 16:00:00+00:00,22550,4829,19801
2017-01-09 17:00:00+00:00,22404,5183,19396
2017-01-09 18:00:00+00:00,21912,4938,19092
2017-01-09 19:00:00+00:00,21221,4546,18806
2017-01-09 20:00:00+00:00,20091,4211,18507
2017-01-09 21:00:00+00:00,19343,3919,18163
2017-01-09 22:00:00+00:00,18285,3563,17355
2017-01-09 23:00:00+00:00,17350,3283,16682
2017-01-10 00:00:00+00:00,16984,3119,16126
2017-01-10 01:00:00+00:00,16611,3046,15687
2017-01-10 02:00:00+00:00,16601,2943,15599
2017-01-10 03:00:00+00:00,16630,3027,15624
2017-01-10 04:00:00+00:00,16889,3159,15886
2017-01-10 05:00:00+00:00,17868,3366,16304
2017-01-10 06:00:00+00:00,19806,4012,17839
2017-01-10 07:00:00+00:00,21487,4642,19365
2017-01-10 08:00:00+00:00,22104,4899,19852
2017-01-10 09:00:00+00:00,22019,4889,19699
2017-01-10 10:00:00+00:00,22274,4918,19416
2017-01-10 11:00:00+00:00,22310,4896,19329
2017-01-10 12:00:00+00:00,22067,4792,19464
2017-01-10 13:00:00+00:00,22051,4848,19514
2017-01-10 14:00:00+00:00,22092,4820,19493
2017-01-10 15:00:00+00:00,22576,4736,19549
2017-01-10 16:00:00+00:00,22617,4907,19790
2017-01-10 17:00:00+00:00,22695,5203,19728
2017-01-10 18:00:00+00:00,22233,4947,19380
2017-01-10 19:00:00+00:00,21583,4588,19111
2017-01-10 20:00:00+00:00,20993,4241,18740
2017-01-10 21:00:00+00:00,20026,3929,18321
2017-01-10 22:00:00+00:00,18595,3567,17538
2017-01-10 23:00:00+00:00,17676,3252,16605
2017-01-11 00:00:00+00:00,17167,3105,15897
2017-01-11 01:00:00+00:00,16888,2923,15513
2017-01-11 02:00:00+00:00,16781,2833,15355
2017-01-11 03:00:00+00:00,16846,2889,15513
2017-01-11 04:00:00+00:00,16993,2983,15591
2017-01-11 05:00:00+00:00,17867,3174,15912
2017-01-11 06:00:00+00:00,19553,3811,17199
2017-01-11 07:00:00+00:00,21377,4459,18910
2017-01-11 08:00:00+00:00,21576,4725,19187
2017-01-11 09:00:00+00:00,21832,4785,19370
2017-01-11 10:00:00+00:00,22233,4930,19457
2017-01-11 11:00:00+00:00,22245,4925,19166
2017-01-11 12:00:00+00:00,22392,4837,19127
2017-01-11 13:00:00+00:00,22359,4753,19282
2017-01-11 14:00:00+00:00,22440,4612,19204
2017-01-11 15:00:00+00:00,22623,4463,19321
2017-01-11 16:00:00+00:00,22743,4647,19577
2017-01-11 17:00:00+00:00,22817,5035,19530
2017-01-11 18:00:00+00:00,22302,4802,19276
2017-01-11 19:00:00+00:00,21545,4491,19064
2017-01-11 20:00:00+00:00,20788,4145,18593
2017-01-11 21:00:00+00:00,19913,3934,18391
2017-01-11 22:00:00+00:00,18804,3607,17749
2017-01-11 23:00:00+00:00,17964,3304,16818
2017-01-12 00:00:00+00:00,17619,3102,16393
2017-01-12 01:00:00+00:00,17193,3063,16085
2017-01-12 02:00:00+00:00,17075,2980,15962
2017-01-12 03:00:00+00:00,17151,3006,15945
2017-01-12 04:00:00+00:00,17257,3056,16104
2017-01-12 05:00:00+00:00,17929,3284,16571
2017-01-12 06:00:00+00:00,19796,3803,18002
2017-01-12 07:00:00+00:00,21487,4554,19630
2017-01-12 08:00:00+00:00,21728,4794,20112
2017-01-12 09:00:00+00:00,21687,4726,19909
2017-01-12 10:00:00+00:00,21807,4733,19880
2017-01-12 11:00:00+00:00,21780,4621,19750
2017-01-12 12:00:00+00:00,21682,4552,19507
2017-01-12 13:00:00+00:00,21620,4527,19427
2017-01-12 14:00:00+00:00,21598,4483,19557
2017-01-12 15:00:00+00:00,21832,4431,19710
2017-01-12 16:00:00+00:00,22448,4668,20270
2017-01-12 17:00:00+00:00,22520,5099,20284
2017-01-12 18:00:00+00:00,22224,4948,19986
2017-01-12 19:00:00+00:00,21738,4592,19792
2017-01-12 20:00:00+00:00,21173,4312,19512
2017-01-12 21:00:00+00:00,20441,4053,18900
2017-01-12 22:00:00+00:00,19356,3703,18381
2017-01-12 23:00:00+00:00,18467,3389,17550
2017-01-13 00:00:00+00:00,17597,3179,16880
2017-01-13 01:00:00+00:00,17475,3094,16498
2017-01-13 02:00:00+00:00,17361,3080,16361
2017-01-13 03:00:00+00:00,17185,3110,16389
2017-01-13 04:00:00+00:00,17536,3227,16603
2017-01-13 05:00:00+00:00,18397,3449,17281
2017-01-13 06:00:00+00:00,20399,4104,18856
2017-01-13 07:00:00+00:00,22489,4810,20598
2017-01-13 08:00:00+00:00,22840,5045,21277
2017-01-13 09:00:00+00:00,22682,4982,21180
2017-01-13 10:00:00+00:00,22820,5012,20910
2017-01-13 11:00:00+00:00,22652,4890,20803
2017-01-13 12:00:00+00:00,22053,4700,20376
2017-01-13 13:00:00+00:00,21433,4594,19888
2017-01-13 14:00:00+00:00,21127,4399,19855
2017-01-13 15:00:00+00:00,21648,4375,19925
2017-01-13 16:00:00+00:00,22549,4644,20228
2017-01-13 17:00:00+00:00,22512,5087,20186
2017-01-13 18:00:00+00:00,22193,4943,20136
2017-01-13 19:00:00+00:00,21385,4590,19938
2017-01-13 20:00:00+00:00,20362,4239,19371
2017-01-13 21:00:00+00:00,19474,3978,19042
2017-01-13 22:00:00+00:00,18571,3682,18421
2017-01-13 23:00:00+00:00,17878,3416,17895
2017-01-14 00:00:00+00:00,17209,3196,17340
2017-01-14 01:00:00+00:00,16816,3030,17052
2017-01-14 02:00:00+00:00,16689,2940,16852
2017-01-14 03:00:00+00:00,16502,2895,16749
2017-01-14 04:00:00+00:00,16622,2943,16761
2017-01-14 05:00:00+00:00,17005,2995,16899
2017-01-14 06:00:00+00:00,17606,3142,17436
2017-01-14 07:00:00+00:00,18361,3474,17848
2017-01-14 08:00:00+00:00,19479,3789,18443
2017-01-14 09:00:00+00:00,19936,4001,19227
2017-01-14 10:00:00+00:00,20212,4066,19718
2017-01-14 11:00:00+00:00,20431,4021,19644
2017-01-14 12:00:00+00:00,20326,3942,19341
2017-01-14 13:00:00+00:00,20211,3860,19294
2017-01-14 14:00:00+00:00,20027,3832,19258
2017-01-14 15:00:00+00:00,20479,3857,19388
2017-01-14 16:00:00+00:00,21496,4164,19874
2017-01-14 17:00:00+00:00,21777,4602,20129
2017-01-14 18:00:00+00:00,21443,4470,20067
2017-01-14 19:00:00+00:00,20628,4131,19767
2017-01-14 20:00:00+00:00,20133,3934,19279
2017-01-14 21:00:00+00:00,19553,3659,18793
2017-01-14 22:00:00+00:00,18727,3425,18446
2017-01-14 23:00:00+00:00,18263,3238,17979
2017-01-15 00:00:00+00:00,17438,3063,17634
2017-01-15 01:00:00+00:00,17265,2917,17443
2017-01-15 02:00:00+00:00,17177,2855,17276
2017-01-15 03:00:00+00:00,17222,2832,17235
2017-01-15 04:00:00+00:00,17385,2837,17467
2017-01-15 05:00:00+00:00,17709,2890,17576
2017-01-15 06:00:00+00:00,18180,3083,17854
2017-01-15 07:00:00+00:00,18856,3380,18252
2017-01-15 08:00:00+00:00,19553,3674,18751
2017-01-15 09:00:00+00:00,20186,3887,19348
2017-01-15 10:00:00+00:00,20695,3972,19839
2017-01-15 11:00:00+00:00,20838,3956,19790
2017-01-15 12:00:00+00:00,20714,3877,19473
2017-01-15 13:00:00+00:00,20577,3781,19324
2017-01-15 14:00:00+00:00,20505,3767,19428
2017-01-15 15:00:00+00:00,20914,3829,19701
2017-01-15 16:00:00+00:00,21856,4183,20300
2017-01-15 17:00:00+00:00,22375,4794,20496
2017-01-15 18:00:00+00:00,22099,4726,20396
2017-01-15 19:00:00+00:00,21772,4428,20250
2017-01-15 20:00:00+00:00,21348,4137,20169
2017-01-15 21:00:00+00:00,20709,3907,20039
2017-01-15 22:00:00+00:00,19874,3624,19582
2017-01-15 23:00:00+00:00,19043,3386,18948
2017-01-16 00:00:00+00:00,18596,3237,18288
2017-01-16 01:00:00+00:00,18469,3143,17996
2017-01-16 02:00:00+00:00,18354,3114,17898
2017-01-16 03:00:00+00:00,18647,3150,17997
2017-01-16 04:00:00+00:00,19006,3229,18224
2017-01-16 05:00:00+00:00,20181,3496,18764
2017-01-16 06:00:00+00:00,23013,4189,20409
2017-01-16 07:00:00+00:00,24343,4966,22126
2017-01-16 08:00:00+00:00,24258,5190,22666
2017-01-16 09:00:00+00:00,24270,5158,22442
2017-01-16 10:00:00+00:00,24265,5116,22112
2017-01-16 11:00:00+00:00,23919,5008,21914
2017-01-16 12:00:00+00:00,23696,4848,21785
2017-01-16 13:00:00+00:00,23301,4823,21494
2017-01-16 14:00:00+00:00,23245,4754,21415
2017-01-16 15:00:00+00:00,23708,4681,21612
2017-01-16 16:00:00+00:00,23951,4916,21926
2017-01-16 17:00:00+00:00,24123,5467,21993
2017-01-16 18:00:00+00:00,23687,5267,21803
2017-01-16 19:00:00+00:00,23266,4935,21588
2017-01-16 20:00:00+00:00,22691,4646,21404
2017-01-16 21:00:00+00:00,21981,4364,21100
2017-01-16 22:00:00+00:00,20635,4040,20289
2017-01-16 23:00:00+00:00,19739,3706,19320
2017-01-17 00:00:00+00:00,19012,3472,18466
2017-01-17 01:00:00+00:00,18759,3345,18090
2017-01-17 02:00:00+00:00,18698,3300,17878
2017-01-17 03:00:00+00:00,18703,3316,17761
2017-01-17 04:00:00+00:00,18838,3381,17949
2017-01-17 05:00:00+00:00,19860,3650,18395
2017-01-17 06:00:00+00:00,22140,4300,19634
2017-01-17 07:00:00+00:00,23844,5042,21325
2017-01-17 08:00:00+00:00,24055,5254,21742
2017-01-17 09:00:00+00:00,23724,5233,21462
2017-01-17 10:00:00+00:00,23543,5259,21199
2017-01-17 11:00:00+00:00,23563,5186,21064
2017-01-17 12:00:00+00:00,23123,5092,20877
2017-01-17 13:00:00+00:00,23153,5078,20885
2017-01-17 14:00:00+00:00,23091,5002,20967
2017-01-17 15:00:00+00:00,23178,4885,20957
2017-01-17 16:00:00+00:00,23669,5034,21171
2017-01-17 17:00:00+00:00,23759,5466,21057
2017-01-17 18:00:00+00:00,23066,5188,20742
2017-01-17 19:00:00+00:00,22568,4826,20281
2017-01-17 20:00:00+00:00,21966,4489,19904
2017-01-17 21:00:00+00:00,20814,4175,19459
2017-01-17 22:00:00+00:00,19669,3792,18718
2017-01-17 23:00:00+00:00,18665,3418,17785
2017-01-18 00:00:00+00:00,17877,3196,17243
2017-01-18 01:00:00+00:00,17642,3056,16740
2017-01-18 02:00:00+00:00,17662,2992,16584
2017-01-18 03:00:00+00:00,17789,3017,16551
2017-01-18 04:00:00+00:00,17967,3082,16773
2017-01-18 05:00:00+00:00,18835,3342,17230
2017-01-18 06:00:00+00:00,20658,4030,18614
2017-01-18 07:00:00+00:00,21978,4794,20223
2017-01-18 08:00:00+00:00,22342,5010,20732
2017-01-18 09:00:00+00:00,22413,4969,20401
2017-01-18 10:00:00+00:00,22388,5016,20154
2017-01-18 11:00:00+00:00,22317,4967,19882
2017-01-18 12:00:00+00:00,22220,4876,19714
2017-01-18 13:00:00+00:00,22134,4863,19699
2017-01-18 14:00:00+00:00,22036,4778,19684
2017-01-18 15:00:00+00:00,22151,4703,19742
2017-01-18 16:00:00+00:00,22502,4871,19964
2017-01-18 17:00:00+00:00,22657,5269,19907
2017-01-18 18:00:00+00:00,22017,4984,19576
2017-01-18 19:00:00+00:00,21393,4644,19341
2017-01-18 20:00:00+00:00,20661,4366,18924
2017-01-18 21:00:00+00:00,19619,4028,18635
2017-01-18 22:00:00+00:00,18383,3660,17828
2017-01-18 23:00:00+00:00,17080,3332,17072
2017-01-19 00:00:00+00:00,16454,3130,16464
2017-01-19 01:00:00+00:00,16226,3057,16236
2017-01-19 02:00:00+00:00,16186,3004,16052
2017-01-19 03:00:00+00:00,16143,3019,15968
2017-01-19 04:00:00+00:00,16141,3062,16048
2017-01-19 05:00:00+00:00,17120,3314,16470
2017-01-19 06:00:00+00:00,18953,3984,17931
2017-01-19 07:00:00+00:00,20679,4701,19707
2017-01-19 08:00:00+00:00,21280,4884,19834
2017-01-19 09:00:00+00:00,21275,4681,19711
2017-01-19 10:00:00+00:00,21321,4780,19585
2017-01-19 11:00:00+00:00,21395,4882,19433
2017-01-19 12:00:00+00:00,21159,4744,19356
2017-01-19 13:00:00+00:00,21030,4719,19265
2017-01-19 14:00:00+00:00,21002,4596,19215
2017-01-19 15:00:00+00:00,21261,4506,19270
2017-01-19 16:00:00+00:00,21611,4642,19627
2017-01-19 17:00:00+00:00,22085,5172,19720
2017-01-19 18:00:00+00:00,21551,4972,19433
2017-01-19 19:00:00+00:00,21155,4629,19076
2017-01-19 20:00:00+00:00,20436,4342,18644
2017-01-19 21:00:00+00:00,19701,4034,18284
2017-01-19 22:00:00+00:00,18471,3674,17632
2017-01-19 23:00:00+00:00,17469,3321,16770
2017-01-20 00:00:00+00:00,16957,3070,16220
2017-01-20 01:00:00+00:00,16467,2956,15820
2017-01-20 02:00:00+00:00,16463,2860,15588
2017-01-20 03:00:00+00:00,16290,2867,15613
2017-01-20 04:00:00+00:00,16302,2949,15741
2017-01-20 05:00:00+00:00,17305,3192,16071
2017-01-20 06:00:00+00:00,19198,3873,17315
2017-01-20 07:00:00+00:00,20791,4612,19040
2017-01-20 08:00:00+00:00,21008,4806,19447
2017-01-20 09:00:00+00:00,20967,4790,19291
2017-01-20 10:00:00+00:00,20750,4743,19147
2017-01-20 11:00:00+00:00,20374,4631,18884
2017-01-20 12:00:00+00:00,19856,4444,18585
2017-01-20 13:00:00+00:00,19796,4309,18562
2017-01-20 14:00:00+00:00,19428,4131,18495
2017-01-20 15:00:00+00:00,19327,4091,18480
2017-01-20 16:00:00+00:00,20122,4305,18854
2017-01-20 17:00:00+00:00,20644,4787,18963
2017-01-20 18:00:00+00:00,20030,4651,18735
2017-01-20 19:00:00+00:00,19561,4248,18447
2017-01-20 20:00:00+00:00,18887,3893,17964
2017-01-20 21:00:00+00:00,18193,3673,17422
2017-01-20 22:00:00+00:00,17732,3439,16930
2017-01-20 23:00:00+00:00,17017,3180,16285
2017-01-21 00:00:00+00:00,16435,2986,15732
2017-01-21 01:00:00+00:00,15965,2873,15292
2017-01-21 02:00:00+00:00,15568,2828,15140
2017-01-21 03:00:00+00:00,15723,2810,15132
2017-01-21 04:00:00+00:00,16031,2813,15366
2017-01-21 05:00:00+00:00,16363,2894,15588
2017-01-21 06:00:00+00:00,16910,3092,15964
2017-01-21 07:00:00+00:00,17772,3410,16375
2017-01-21 08:00:00+00:00,18411,3724,17132
2017-01-21 09:00:00+00:00,19026,3959,17872
2017-01-21 10:00:00+00:00,19446,4111,18334
2017-01-21 11:00:00+00:00,19237,4115,18210
2017-01-21 12:00:00+00:00,19162,4032,18000
2017-01-21 13:00:00+00:00,18730,3949,17707
2017-01-21 14:00:00+00:00,18430,3886,17592
2017-01-21 15:00:00+00:00,18814,3917,17798
2017-01-21 16:00:00+00:00,19751,4159,18191
2017-01-21 17:00:00+00:00,20281,4638,18673
2017-01-21 18:00:00+00:00,20047,4516,18726
2017-01-21 19:00:00+00:00,19681,4146,18444
2017-01-21 20:00:00+00:00,19011,3872,18046
2017-01-21 21:00:00+00:00,18544,3649,17600
2017-01-21 22:00:00+00:00,17929,3414,17144
2017-01-21 23:00:00+00:00,17082,3193,16722
2017-01-22 00:00:00+00:00,16658,3011,16373
2017-01-22 01:00:00+00:00,16522,2868,16079
2017-01-22 02:00:00+00:00,16454,2788,15859
2017-01-22 03:00:00+00:00,16431,2755,15820
2017-01-22 04:00:00+00:00,16450,2761,15849
2017-01-22 05:00:00+00:00,16426,2828,15894
2017-01-22 06:00:00+00:00,16927,2991,16120
2017-01-22 07:00:00+00:00,17571,3256,16402
2017-01-22 08:00:00+00:00,18068,3567,16931
2017-01-22 09:00:00+00:00,18816,3809,17355
2017-01-22 10:00:00+00:00,19483,3958,17919
2017-01-22 11:00:00+00:00,19988,4020,18100
2017-01-22 12:00:00+00:00,19824,4007,18035
2017-01-22 13:00:00+00:00,19586,3982,18104
2017-01-22 14:00:00+00:00,19565,3975,18099
2017-01-22 15:00:00+00:00,19680,4024,18243
2017-01-22 16:00:00+00:00,20281,4218,18593
2017-01-22 17:00:00+00:00,20683,4673,18666
2017-01-22 18:00:00+00:00,20623,4602,18624
2017-01-22 19:00:00+00:00,20350,4282,18498
2017-01-22 20:00:00+00:00,19693,3978,18223
2017-01-22 21:00:00+00:00,18811,3729,17975
2017-01-22 22:00:00+00:00,17925,3430,17594
2017-01-22 23:00:00+00:00,17400,3184,16953
2017-01-23 00:00:00+00:00,16445,3023,16342
2017-01-23 01:00:00+00:00,16149,2922,16081
2017-01-23 02:00:00+00:00,16097,2904,15941
2017-01-23 03:00:00+00:00,16319,2919,16015
2017-01-23 04:00:00+00:00,16399,2992,16248
2017-01-23 05:00:00+00:00,17583,3281,16869
2017-01-23 06:00:00+00:00,19565,3983,18236
2017-01-23 07:00:00+00:00,21144,4752,19949
