"Time (CET)","Day-ahead Total Load Forecast [MW] - Norway (NO)","Actual Total Load [MW] - Norway (NO)"
"11.04.2018 10:00 - 11.04.2018 11:00","17281","17281"
"11.04.2018 11:00 - 11.04.2018 12:00","16884","16883"
"11.04.2018 12:00 - 11.04.2018 13:00","16682","16682"
"11.04.2018 13:00 - 11.04.2018 14:00","16382","16382"
"11.04.2018 14:00 - 11.04.2018 15:00","16279","16279"
"11.04.2018 15:00 - 11.04.2018 16:00","16212","16212"
"11.04.2018 16:00 - 11.04.2018 17:00","16078","16078"
"11.04.2018 17:00 - 11.04.2018 18:00","15906","15905"
"11.04.2018 18:00 - 11.04.2018 19:00","15789","15788"
"11.04.2018 19:00 - 11.04.2018 20:00","15871","15871"
"11.04.2018 20:00 - 11.04.2018 21:00","16269","16269"
"11.04.2018 21:00 - 11.04.2018 22:00","16656","16655"
"11.04.2018 22:00 - 11.04.2018 23:00","16297","16188"
"11.04.2018 23:00 - 12.04.2018 00:00","15773","15591"
"12.04.2018 00:00 - 12.04.2018 01:00","15054","15054"
"12.04.2018 01:00 - 12.04.2018 02:00","14879","14878"
"12.04.2018 02:00 - 12.04.2018 03:00","14783","14783"
"12.04.2018 03:00 - 12.04.2018 04:00","14853","14853"
"12.04.2018 04:00 - 12.04.2018 05:00","15076","15076"
"12.04.2018 05:00 - 12.04.2018 06:00","15567","15566"
"12.04.2018 06:00 - 12.04.2018 07:00","16955","16956"
"12.04.2018 07:00 - 12.04.2018 08:00","18181","18182"
"12.04.2018 08:00 - 12.04.2018 09:00","18279","18279"
"12.04.2018 09:00 - 12.04.2018 10:00","17612","17612"
"12.04.2018 10:00 - 12.04.2018 11:00","16969","16969"
"12.04.2018 11:00 - 12.04.2018 12:00","16524","16525"
"12.04.2018 12:00 - 12.04.2018 13:00","16157","16157"
"12.04.2018 13:00 - 12.04.2018 14:00","15981","15981"
"12.04.2018 14:00 - 12.04.2018 15:00","15866","15866"
"12.04.2018 15:00 - 12.04.2018 16:00","15803","15803"
"12.04.2018 16:00 - 12.04.2018 17:00","15661","15661"
"12.04.2018 17:00 - 12.04.2018 18:00","15455","15454"
"12.04.2018 18:00 - 12.04.2018 19:00","15309","15310"
"12.04.2018 19:00 - 12.04.2018 20:00","15376","15376"
"12.04.2018 20:00 - 12.04.2018 21:00","15682","15682"
"12.04.2018 21:00 - 12.04.2018 22:00","15813","15813"
"12.04.2018 22:00 - 12.04.2018 23:00","15677","15601"
"12.04.2018 23:00 - 13.04.2018 00:00","15271","14879"
"13.04.2018 00:00 - 13.04.2018 01:00","14285","14285"
"13.04.2018 01:00 - 13.04.2018 02:00","14146","14146"
"13.04.2018 02:00 - 13.04.2018 03:00","14069","14069"
"13.04.2018 03:00 - 13.04.2018 04:00","14131","14131"
"13.04.2018 04:00 - 13.04.2018 05:00","14450","14450"
"13.04.2018 05:00 - 13.04.2018 06:00","14717","14717"
"13.04.2018 06:00 - 13.04.2018 07:00","15949","15949"
"13.04.2018 07:00 - 13.04.2018 08:00","17343","17342"
"13.04.2018 08:00 - 13.04.2018 09:00","17467","17467"
"13.04.2018 09:00 - 13.04.2018 10:00","16984","16984"
"13.04.2018 10:00 - 13.04.2018 11:00","16526","16526"
"13.04.2018 11:00 - 13.04.2018 12:00","16152","16152"
"13.04.2018 12:00 - 13.04.2018 13:00","15923","15923"
"13.04.2018 13:00 - 13.04.2018 14:00","15762","15761"
"13.04.2018 14:00 - 13.04.2018 15:00","15469","15469"
"13.04.2018 15:00 - 13.04.2018 16:00","15161","15162"
"13.04.2018 16:00 - 13.04.2018 17:00","15070","15069"
"13.04.2018 17:00 - 13.04.2018 18:00","14910","14909"
"13.04.2018 18:00 - 13.04.2018 19:00","14874","14874"
"13.04.2018 19:00 - 13.04.2018 20:00","14937","14936"
"13.04.2018 20:00 - 13.04.2018 21:00","14852","14851"
"13.04.2018 21:00 - 13.04.2018 22:00","14925","14925"
"13.04.2018 22:00 - 13.04.2018 23:00","14660","14660"
"13.04.2018 23:00 - 14.04.2018 00:00","14381","14133"
"14.04.2018 00:00 - 14.04.2018 01:00","13859","13858"
"14.04.2018 01:00 - 14.04.2018 02:00","13638","13633"
"14.04.2018 02:00 - 14.04.2018 03:00","13455","13455"
"14.04.2018 03:00 - 14.04.2018 04:00","13470","13469"
"14.04.2018 04:00 - 14.04.2018 05:00","13486","13486"
"14.04.2018 05:00 - 14.04.2018 06:00","13566","13565"
"14.04.2018 06:00 - 14.04.2018 07:00","13789","13787"
"14.04.2018 07:00 - 14.04.2018 08:00","14204","14203"
"14.04.2018 08:00 - 14.04.2018 09:00","14894","14892"
"14.04.2018 09:00 - 14.04.2018 10:00","15314","15313"
"14.04.2018 10:00 - 14.04.2018 11:00","15306","15305"
"14.04.2018 11:00 - 14.04.2018 12:00","14936","14936"
"14.04.2018 12:00 - 14.04.2018 13:00","14566","14566"
"14.04.2018 13:00 - 14.04.2018 14:00","14207","14206"
"14.04.2018 14:00 - 14.04.2018 15:00","13978","13979"
"14.04.2018 15:00 - 14.04.2018 16:00","13858","13856"
"14.04.2018 16:00 - 14.04.2018 17:00","13684","13684"
"14.04.2018 17:00 - 14.04.2018 18:00","13796","13796"
"14.04.2018 18:00 - 14.04.2018 19:00","13876","13878"
"14.04.2018 19:00 - 14.04.2018 20:00","13899","13922"
"14.04.2018 20:00 - 14.04.2018 21:00","13951","13986"
"14.04.2018 21:00 - 14.04.2018 22:00","14035","14070"
"14.04.2018 22:00 - 14.04.2018 23:00","13802","13832"
"14.04.2018 23:00 - 15.04.2018 00:00","13650","13432"
"15.04.2018 00:00 - 15.04.2018 01:00","13104","13104"
"15.04.2018 01:00 - 15.04.2018 02:00","12805","12806"
"15.04.2018 02:00 - 15.04.2018 03:00","12698","12697"
"15.04.2018 03:00 - 15.04.2018 04:00","12778","12777"
"15.04.2018 04:00 - 15.04.2018 05:00","12904","12903"
"15.04.2018 05:00 - 15.04.2018 06:00","13006","13006"
"15.04.2018 06:00 - 15.04.2018 07:00","13021","13020"
"15.04.2018 07:00 - 15.04.2018 08:00","13530","13529"
"15.04.2018 08:00 - 15.04.2018 09:00","13631","13628"
"15.04.2018 09:00 - 15.04.2018 10:00","14014","14012"
"15.04.2018 10:00 - 15.04.2018 11:00","14213","14212"
"15.04.2018 11:00 - 15.04.2018 12:00","14012","14013"
"15.04.2018 12:00 - 15.04.2018 13:00","13875","13875"
"15.04.2018 13:00 - 15.04.2018 14:00","13726","13726"
"15.04.2018 14:00 - 15.04.2018 15:00","13553","13554"
"15.04.2018 15:00 - 15.04.2018 16:00","13470","13470"
"15.04.2018 16:00 - 15.04.2018 17:00","13424","13425"
"15.04.2018 17:00 - 15.04.2018 18:00","13490","13490"
"15.04.2018 18:00 - 15.04.2018 19:00","13650","13651"
"15.04.2018 19:00 - 15.04.2018 20:00","13842","13840"
"15.04.2018 20:00 - 15.04.2018 21:00","14088","14087"
"15.04.2018 21:00 - 15.04.2018 22:00","14240","14224"
"15.04.2018 22:00 - 15.04.2018 23:00","13962","13933"
"15.04.2018 23:00 - 16.04.2018 00:00","13683","13414"
"16.04.2018 00:00 - 16.04.2018 01:00","12966","12967"
"16.04.2018 01:00 - 16.04.2018 02:00","12775","12775"
"16.04.2018 02:00 - 16.04.2018 03:00","12763","12763"
"16.04.2018 03:00 - 16.04.2018 04:00","12846","12845"
"16.04.2018 04:00 - 16.04.2018 05:00","12913","12911"
"16.04.2018 05:00 - 16.04.2018 06:00","13381","13381"
"16.04.2018 06:00 - 16.04.2018 07:00","14562","14560"
"16.04.2018 07:00 - 16.04.2018 08:00","16343","16342"
"16.04.2018 08:00 - 16.04.2018 09:00","16626","16626"
"16.04.2018 09:00 - 16.04.2018 10:00","16336","16338"
"16.04.2018 10:00 - 16.04.2018 11:00","16156","16156"
"16.04.2018 11:00 - 16.04.2018 12:00","15853","15854"
"16.04.2018 12:00 - 16.04.2018 13:00","15717","15688"
"16.04.2018 13:00 - 16.04.2018 14:00","15559","15525"
"16.04.2018 14:00 - 16.04.2018 15:00","15502","15467"
"16.04.2018 15:00 - 16.04.2018 16:00","15451","15423"
"16.04.2018 16:00 - 16.04.2018 17:00","15498","15494"
"16.04.2018 17:00 - 16.04.2018 18:00","15538","15537"
"16.04.2018 18:00 - 16.04.2018 19:00","15411","15414"
"16.04.2018 19:00 - 16.04.2018 20:00","15415","15417"
"16.04.2018 20:00 - 16.04.2018 21:00","15561","15556"
"16.04.2018 21:00 - 16.04.2018 22:00","15330","15332"
"16.04.2018 22:00 - 16.04.2018 23:00","14946","14958"
"16.04.2018 23:00 - 17.04.2018 00:00","14141","14160"
"17.04.2018 00:00 - 17.04.2018 01:00","13363","13366"
"17.04.2018 01:00 - 17.04.2018 02:00","13154","13154"
"17.04.2018 02:00 - 17.04.2018 03:00","12978","12977"
"17.04.2018 03:00 - 17.04.2018 04:00","13052","13051"
"17.04.2018 04:00 - 17.04.2018 05:00","13142","13142"
"17.04.2018 05:00 - 17.04.2018 06:00","13508","13510"
"17.04.2018 06:00 - 17.04.2018 07:00","14798","14760"
"17.04.2018 07:00 - 17.04.2018 08:00","16154","16154"
"17.04.2018 08:00 - 17.04.2018 09:00","16365","16361"
"17.04.2018 09:00 - 17.04.2018 10:00","16201","16202"
"17.04.2018 10:00 - 17.04.2018 11:00","16283","15999"
"17.04.2018 11:00 - 17.04.2018 12:00","15952","19285"
"17.04.2018 12:00 - 17.04.2018 13:00","15688","18270"
"17.04.2018 13:00 - 17.04.2018 14:00","15420","17660"
"17.04.2018 14:00 - 17.04.2018 15:00","15344","16524"
"17.04.2018 15:00 - 17.04.2018 16:00","15279","16099"
"17.04.2018 16:00 - 17.04.2018 17:00","15334","17292"
"17.04.2018 17:00 - 17.04.2018 18:00","15387","18509"
"17.04.2018 18:00 - 17.04.2018 19:00","15441","19017"
"17.04.2018 19:00 - 17.04.2018 20:00","15543","18952"
"17.04.2018 20:00 - 17.04.2018 21:00","15700","18789"
"17.04.2018 21:00 - 17.04.2018 22:00","15600","18292"
"17.04.2018 22:00 - 17.04.2018 23:00","15127","17186"
"17.04.2018 23:00 - 18.04.2018 00:00","14389","15293"
"18.04.2018 00:00 - 18.04.2018 01:00","13383","13275"
"18.04.2018 01:00 - 18.04.2018 02:00","13161","12269"
"18.04.2018 02:00 - 18.04.2018 03:00","13066","11797"
"18.04.2018 03:00 - 18.04.2018 04:00","13136","11389"
"18.04.2018 04:00 - 18.04.2018 05:00","13315","11219"
"18.04.2018 05:00 - 18.04.2018 06:00","13777","12842"
"18.04.2018 06:00 - 18.04.2018 07:00","15092","17186"
"18.04.2018 07:00 - 18.04.2018 08:00","16442","19547"
"18.04.2018 08:00 - 18.04.2018 09:00","16719","19668"
"18.04.2018 09:00 - 18.04.2018 10:00","16474","19437"
"18.04.2018 10:00 - 18.04.2018 11:00","16184","18652"
"18.04.2018 11:00 - 18.04.2018 12:00","15844","17785"
"18.04.2018 12:00 - 18.04.2018 13:00","15506","17154"
"18.04.2018 13:00 - 18.04.2018 14:00","15193","16602"
"18.04.2018 14:00 - 18.04.2018 15:00","15058","15465"
"18.04.2018 15:00 - 18.04.2018 16:00","14936","15253"
"18.04.2018 16:00 - 18.04.2018 17:00","14875","16003"
"18.04.2018 17:00 - 18.04.2018 18:00","14781","16826"
"18.04.2018 18:00 - 18.04.2018 19:00","14730","17947"
"18.04.2018 19:00 - 18.04.2018 20:00","14818","18562"
"18.04.2018 20:00 - 18.04.2018 21:00","14912","18372"
"18.04.2018 21:00 - 18.04.2018 22:00","14812","17772"
"18.04.2018 22:00 - 18.04.2018 23:00","14287","16688"
"18.04.2018 23:00 - 19.04.2018 00:00","13611","13436"
"19.04.2018 00:00 - 19.04.2018 01:00","13339","12929"
"19.04.2018 01:00 - 19.04.2018 02:00","13136","10372"
"19.04.2018 02:00 - 19.04.2018 03:00","13075","10424"
"19.04.2018 03:00 - 19.04.2018 04:00","13121","10528"
"19.04.2018 04:00 - 19.04.2018 05:00","13250","10829"
"19.04.2018 05:00 - 19.04.2018 06:00","13634","12799"
"19.04.2018 06:00 - 19.04.2018 07:00","14750","17458"
"19.04.2018 07:00 - 19.04.2018 08:00","16079","19887"
"19.04.2018 08:00 - 19.04.2018 09:00","16381","20201"
"19.04.2018 09:00 - 19.04.2018 10:00","16080","20064"
"19.04.2018 10:00 - 19.04.2018 11:00","15738","19047"
"19.04.2018 11:00 - 19.04.2018 12:00","15381","18724"
"19.04.2018 12:00 - 19.04.2018 13:00","15202","17524"
"19.04.2018 13:00 - 19.04.2018 14:00","15042","16884"
"19.04.2018 14:00 - 19.04.2018 15:00","14859","15938"
"19.04.2018 15:00 - 19.04.2018 16:00","14720","15927"
"19.04.2018 16:00 - 19.04.2018 17:00","14753","16881"
"19.04.2018 17:00 - 19.04.2018 18:00","14686","18378"
"19.04.2018 18:00 - 19.04.2018 19:00","14729","18594"
"19.04.2018 19:00 - 19.04.2018 20:00","14868","18851"
"19.04.2018 20:00 - 19.04.2018 21:00","14992","18381"
"19.04.2018 21:00 - 19.04.2018 22:00","14966","17211"
"19.04.2018 22:00 - 19.04.2018 23:00","14542","15027"
"19.04.2018 23:00 - 20.04.2018 00:00","13825","12184"
"20.04.2018 00:00 - 20.04.2018 01:00","13114","12928"
"20.04.2018 01:00 - 20.04.2018 02:00","12877","10477"
"20.04.2018 02:00 - 20.04.2018 03:00","12843","10533"
"20.04.2018 03:00 - 20.04.2018 04:00","12891","10537"
"20.04.2018 04:00 - 20.04.2018 05:00","13026","10886"
"20.04.2018 05:00 - 20.04.2018 06:00","13448","12373"
"20.04.2018 06:00 - 20.04.2018 07:00","14652","15897"
"20.04.2018 07:00 - 20.04.2018 08:00","16019","18313"
"20.04.2018 08:00 - 20.04.2018 09:00","16371","18947"
"20.04.2018 09:00 - 20.04.2018 10:00","16149","18773"
"20.04.2018 10:00 - 20.04.2018 11:00","15915","18466"
"20.04.2018 11:00 - 20.04.2018 12:00","15651","17275"
"20.04.2018 12:00 - 20.04.2018 13:00","15448","15570"
"20.04.2018 13:00 - 20.04.2018 14:00","15233","14185"
"20.04.2018 14:00 - 20.04.2018 15:00","15016","13128"
"20.04.2018 15:00 - 20.04.2018 16:00","14829","12849"
"20.04.2018 16:00 - 20.04.2018 17:00","14716","13099"
"20.04.2018 17:00 - 20.04.2018 18:00","14655","14260"
"20.04.2018 18:00 - 20.04.2018 19:00","14687","15671"
"20.04.2018 19:00 - 20.04.2018 20:00","14764","15479"
"20.04.2018 20:00 - 20.04.2018 21:00","14755","14898"
"20.04.2018 21:00 - 20.04.2018 22:00","14599","14248"
"20.04.2018 22:00 - 20.04.2018 23:00","14294","13096"
"20.04.2018 23:00 - 21.04.2018 00:00","13825","11452"
"21.04.2018 00:00 - 21.04.2018 01:00","13182","13245"
"21.04.2018 01:00 - 21.04.2018 02:00","13002","10702"
"21.04.2018 02:00 - 21.04.2018 03:00","12874","10219"
"21.04.2018 03:00 - 21.04.2018 04:00","12848","10187"
"21.04.2018 04:00 - 21.04.2018 05:00","12989","10222"
"21.04.2018 05:00 - 21.04.2018 06:00","13069","10431"
"21.04.2018 06:00 - 21.04.2018 07:00","13388","11094"
"21.04.2018 07:00 - 21.04.2018 08:00","13873","12373"
"21.04.2018 08:00 - 21.04.2018 09:00","14437","12899"
"21.04.2018 09:00 - 21.04.2018 10:00","14853","12557"
"21.04.2018 10:00 - 21.04.2018 11:00","14986","12545"
"21.04.2018 11:00 - 21.04.2018 12:00","14794","12170"
"21.04.2018 12:00 - 21.04.2018 13:00","14498","11123"
"21.04.2018 13:00 - 21.04.2018 14:00","14229","10757"
"21.04.2018 14:00 - 21.04.2018 15:00","13999","10488"
"21.04.2018 15:00 - 21.04.2018 16:00","13935","10374"
"21.04.2018 16:00 - 21.04.2018 17:00","14048","10702"
"21.04.2018 17:00 - 21.04.2018 18:00","14236","11240"
"21.04.2018 18:00 - 21.04.2018 19:00","14381","12710"
"21.04.2018 19:00 - 21.04.2018 20:00","14366","13780"
"21.04.2018 20:00 - 21.04.2018 21:00","14322","14335"
"21.04.2018 21:00 - 21.04.2018 22:00","14294","14129"
"21.04.2018 22:00 - 21.04.2018 23:00","13999","13604"
"21.04.2018 23:00 - 22.04.2018 00:00","13650","12927"
"22.04.2018 00:00 - 22.04.2018 01:00","13287","13180"
"22.04.2018 01:00 - 22.04.2018 02:00","13065","12926"
"22.04.2018 02:00 - 22.04.2018 03:00","12991","12813"
"22.04.2018 03:00 - 22.04.2018 04:00","13007","12838"
"22.04.2018 04:00 - 22.04.2018 05:00","13114","12895"
"22.04.2018 05:00 - 22.04.2018 06:00","13258","12953"
"22.04.2018 06:00 - 22.04.2018 07:00","13399","13091"
"22.04.2018 07:00 - 22.04.2018 08:00","13646","13440"
"22.04.2018 08:00 - 22.04.2018 09:00","14069","13730"
"22.04.2018 09:00 - 22.04.2018 10:00","14455","14098"
"22.04.2018 10:00 - 22.04.2018 11:00","14607","14187"
"22.04.2018 11:00 - 22.04.2018 12:00","14494","14197"
"22.04.2018 12:00 - 22.04.2018 13:00","14323","14135"
"22.04.2018 13:00 - 22.04.2018 14:00","14243","14071"
"22.04.2018 14:00 - 22.04.2018 15:00","14131","13971"
"22.04.2018 15:00 - 22.04.2018 16:00","14121","13977"
"22.04.2018 16:00 - 22.04.2018 17:00","14116","14144"
"22.04.2018 17:00 - 22.04.2018 18:00","14197","14192"
"22.04.2018 18:00 - 22.04.2018 19:00","14371","14349"
"22.04.2018 19:00 - 22.04.2018 20:00","14554","14391"
"22.04.2018 20:00 - 22.04.2018 21:00","14762","14590"
"22.04.2018 21:00 - 22.04.2018 22:00","14759","14624"
"22.04.2018 22:00 - 22.04.2018 23:00","14408","14293"
"22.04.2018 23:00 - 23.04.2018 00:00","13855","13740"
"23.04.2018 00:00 - 23.04.2018 01:00","13082","13083"
"23.04.2018 01:00 - 23.04.2018 02:00","12780","12780"
"23.04.2018 02:00 - 23.04.2018 03:00","12769","12769"
"23.04.2018 03:00 - 23.04.2018 04:00","12912","12912"
"23.04.2018 04:00 - 23.04.2018 05:00","12928","12927"
"23.04.2018 05:00 - 23.04.2018 06:00","13247","13246"
"23.04.2018 06:00 - 23.04.2018 07:00","14539","14539"
"23.04.2018 07:00 - 23.04.2018 08:00","16003","16003"
"23.04.2018 08:00 - 23.04.2018 09:00","16578","16578"
"23.04.2018 09:00 - 23.04.2018 10:00","16192","16192"
"23.04.2018 10:00 - 23.04.2018 11:00","16340","16340"
"23.04.2018 11:00 - 23.04.2018 12:00","16257","16256"
"23.04.2018 12:00 - 23.04.2018 13:00","16175","16175"
"23.04.2018 13:00 - 23.04.2018 14:00","15843","15843"
"23.04.2018 14:00 - 23.04.2018 15:00","15919","15919"
"23.04.2018 15:00 - 23.04.2018 16:00","15796","15795"
"23.04.2018 16:00 - 23.04.2018 17:00","15775","15775"
"23.04.2018 17:00 - 23.04.2018 18:00","15568","15569"
"23.04.2018 18:00 - 23.04.2018 19:00","15285","15285"
"23.04.2018 19:00 - 23.04.2018 20:00","15479","15479"
"23.04.2018 20:00 - 23.04.2018 21:00","15519","15519"
"23.04.2018 21:00 - 23.04.2018 22:00","15478","15477"
"23.04.2018 22:00 - 23.04.2018 23:00","15163","15040"
"23.04.2018 23:00 - 24.04.2018 00:00","14435","14289"
"24.04.2018 00:00 - 24.04.2018 01:00","13738","13738"
"24.04.2018 01:00 - 24.04.2018 02:00","13308","13307"
"24.04.2018 02:00 - 24.04.2018 03:00","13015","13014"
"24.04.2018 03:00 - 24.04.2018 04:00","13056","13055"
"24.04.2018 04:00 - 24.04.2018 05:00","13226","13226"
"24.04.2018 05:00 - 24.04.2018 06:00","13736","13736"
"24.04.2018 06:00 - 24.04.2018 07:00","14830","14831"
"24.04.2018 07:00 - 24.04.2018 08:00","16124","16122"
"24.04.2018 08:00 - 24.04.2018 09:00","16386","16386"
"24.04.2018 09:00 - 24.04.2018 10:00","16424","16418"
"24.04.2018 10:00 - 24.04.2018 11:00","16343","16343"
"24.04.2018 11:00 - 24.04.2018 12:00","16082","16081"
"24.04.2018 12:00 - 24.04.2018 13:00","15762","15761"
"24.04.2018 13:00 - 24.04.2018 14:00","15792","15793"
"24.04.2018 14:00 - 24.04.2018 15:00","15731","15699"
"24.04.2018 15:00 - 24.04.2018 16:00","15755","15730"
"24.04.2018 16:00 - 24.04.2018 17:00","15621","15594"
"24.04.2018 17:00 - 24.04.2018 18:00","15360","15314"
"24.04.2018 18:00 - 24.04.2018 19:00","15245","15221"
"24.04.2018 19:00 - 24.04.2018 20:00","15332","15296"
"24.04.2018 20:00 - 24.04.2018 21:00","15225","15203"
"24.04.2018 21:00 - 24.04.2018 22:00","15324","15308"
"24.04.2018 22:00 - 24.04.2018 23:00","15088","15029"
"24.04.2018 23:00 - 25.04.2018 00:00","14474","14309"
"25.04.2018 00:00 - 25.04.2018 01:00","13803","13792"
"25.04.2018 01:00 - 25.04.2018 02:00","13373","13367"
"25.04.2018 02:00 - 25.04.2018 03:00","13235","13235"
"25.04.2018 03:00 - 25.04.2018 04:00","13328","13328"
"25.04.2018 04:00 - 25.04.2018 05:00","13472","13467"
"25.04.2018 05:00 - 25.04.2018 06:00","13889","13889"
"25.04.2018 06:00 - 25.04.2018 07:00","15038","15037"
"25.04.2018 07:00 - 25.04.2018 08:00","16427","16427"
"25.04.2018 08:00 - 25.04.2018 09:00","16559","16559"
"25.04.2018 09:00 - 25.04.2018 10:00","16290","16290"
"25.04.2018 10:00 - 25.04.2018 11:00","16139","16138"
"25.04.2018 11:00 - 25.04.2018 12:00","15773","15773"
"25.04.2018 12:00 - 25.04.2018 13:00","15619","15608"
"25.04.2018 13:00 - 25.04.2018 14:00","15569","15465"
"25.04.2018 14:00 - 25.04.2018 15:00","15221","15209"
"25.04.2018 15:00 - 25.04.2018 16:00","15200","15200"
"25.04.2018 16:00 - 25.04.2018 17:00","15132","15131"
"25.04.2018 17:00 - 25.04.2018 18:00","14908","14908"
"25.04.2018 18:00 - 25.04.2018 19:00","14822","14822"
"25.04.2018 19:00 - 25.04.2018 20:00","14868","14868"
"25.04.2018 20:00 - 25.04.2018 21:00","15002","15001"
"25.04.2018 21:00 - 25.04.2018 22:00","15220","15219"
"25.04.2018 22:00 - 25.04.2018 23:00","14932","14892"
"25.04.2018 23:00 - 26.04.2018 00:00","14413","14237"
"26.04.2018 00:00 - 26.04.2018 01:00","13780","13778"
"26.04.2018 01:00 - 26.04.2018 02:00","13500","13500"
"26.04.2018 02:00 - 26.04.2018 03:00","13407","13407"
"26.04.2018 03:00 - 26.04.2018 04:00","13505","13504"
"26.04.2018 04:00 - 26.04.2018 05:00","13655","13655"
"26.04.2018 05:00 - 26.04.2018 06:00","13983","13983"
"26.04.2018 06:00 - 26.04.2018 07:00","15334","15333"
"26.04.2018 07:00 - 26.04.2018 08:00","16581","16581"
"26.04.2018 08:00 - 26.04.2018 09:00","16695","16695"
"26.04.2018 09:00 - 26.04.2018 10:00","16356","16356"
"26.04.2018 10:00 - 26.04.2018 11:00","15935","15935"
"26.04.2018 11:00 - 26.04.2018 12:00","15633","15633"
"26.04.2018 12:00 - 26.04.2018 13:00","15401","15402"
"26.04.2018 13:00 - 26.04.2018 14:00","15225","15224"
"26.04.2018 14:00 - 26.04.2018 15:00","15195","15194"
"26.04.2018 15:00 - 26.04.2018 16:00","15220","15220"
"26.04.2018 16:00 - 26.04.2018 17:00","15182","15182"
"26.04.2018 17:00 - 26.04.2018 18:00","15085","15085"
"26.04.2018 18:00 - 26.04.2018 19:00","15231","15231"
"26.04.2018 19:00 - 26.04.2018 20:00","15027","15026"
"26.04.2018 20:00 - 26.04.2018 21:00","15043","14961"
"26.04.2018 21:00 - 26.04.2018 22:00","15267","15267"
"26.04.2018 22:00 - 26.04.2018 23:00","15017","14952"
"26.04.2018 23:00 - 27.04.2018 00:00","14423","14316"
"27.04.2018 00:00 - 27.04.2018 01:00","13731","13731"
"27.04.2018 01:00 - 27.04.2018 02:00","13416","13415"
"27.04.2018 02:00 - 27.04.2018 03:00","13266","13266"
"27.04.2018 03:00 - 27.04.2018 04:00","13334","13334"
"27.04.2018 04:00 - 27.04.2018 05:00","13460","13460"
"27.04.2018 05:00 - 27.04.2018 06:00","13765","13765"
"27.04.2018 06:00 - 27.04.2018 07:00","14893","14892"
"27.04.2018 07:00 - 27.04.2018 08:00","16338","16337"
"27.04.2018 08:00 - 27.04.2018 09:00","16508","16508"
"27.04.2018 09:00 - 27.04.2018 10:00","16468","16468"
"27.04.2018 10:00 - 27.04.2018 11:00","16226","16225"
"27.04.2018 11:00 - 27.04.2018 12:00","15808","15807"
"27.04.2018 12:00 - 27.04.2018 13:00","15544","15544"
"27.04.2018 13:00 - 27.04.2018 14:00","15371","15371"
"27.04.2018 14:00 - 27.04.2018 15:00","15382","15383"
"27.04.2018 15:00 - 27.04.2018 16:00","15247","15247"
"27.04.2018 16:00 - 27.04.2018 17:00","15180","15179"
"27.04.2018 17:00 - 27.04.2018 18:00","14997","14998"
"27.04.2018 18:00 - 27.04.2018 19:00","14959","14958"
"27.04.2018 19:00 - 27.04.2018 20:00","14889","14888"
"27.04.2018 20:00 - 27.04.2018 21:00","14780","14780"
"27.04.2018 21:00 - 27.04.2018 22:00","14802","14802"
"27.04.2018 22:00 - 27.04.2018 23:00","14698","14701"
"27.04.2018 23:00 - 28.04.2018 00:00","14323","14163"
"28.04.2018 00:00 - 28.04.2018 01:00","13764","13764"
"28.04.2018 01:00 - 28.04.2018 02:00","13283","13283"
"28.04.2018 02:00 - 28.04.2018 03:00","13340","13340"
"28.04.2018 03:00 - 28.04.2018 04:00","13298","13298"
"28.04.2018 04:00 - 28.04.2018 05:00","13376","13376"
"28.04.2018 05:00 - 28.04.2018 06:00","13329","13329"
"28.04.2018 06:00 - 28.04.2018 07:00","13543","13543"
"28.04.2018 07:00 - 28.04.2018 08:00","14062","14047"
"28.04.2018 08:00 - 28.04.2018 09:00","14616","14615"
"28.04.2018 09:00 - 28.04.2018 10:00","15137","15137"
"28.04.2018 10:00 - 28.04.2018 11:00","15368","15368"
"28.04.2018 11:00 - 28.04.2018 12:00","15207","15207"
"28.04.2018 12:00 - 28.04.2018 13:00","14896","14895"
"28.04.2018 13:00 - 28.04.2018 14:00","14621","14620"
"28.04.2018 14:00 - 28.04.2018 15:00","14406","14406"
"28.04.2018 15:00 - 28.04.2018 16:00","14306","14306"
"28.04.2018 16:00 - 28.04.2018 17:00","14284","14283"
"28.04.2018 17:00 - 28.04.2018 18:00","14262","14261"
"28.04.2018 18:00 - 28.04.2018 19:00","14404","14404"
"28.04.2018 19:00 - 28.04.2018 20:00","14396","14397"
"28.04.2018 20:00 - 28.04.2018 21:00","14348","14349"
"28.04.2018 21:00 - 28.04.2018 22:00","14390","14389"
"28.04.2018 22:00 - 28.04.2018 23:00","14407","14416"
"28.04.2018 23:00 - 29.04.2018 00:00","14071","14107"
"29.04.2018 00:00 - 29.04.2018 01:00","13779","13778"
"29.04.2018 01:00 - 29.04.2018 02:00","13495","13495"
"29.04.2018 02:00 - 29.04.2018 03:00","13450","13450"
"29.04.2018 03:00 - 29.04.2018 04:00","13423","13423"
"29.04.2018 04:00 - 29.04.2018 05:00","13457","13456"
"29.04.2018 05:00 - 29.04.2018 06:00","13446","13446"
"29.04.2018 06:00 - 29.04.2018 07:00","13510","13509"
"29.04.2018 07:00 - 29.04.2018 08:00","13742","13741"
"29.04.2018 08:00 - 29.04.2018 09:00","13983","13984"
"29.04.2018 09:00 - 29.04.2018 10:00","14270","14270"
"29.04.2018 10:00 - 29.04.2018 11:00","14446","14446"
"29.04.2018 11:00 - 29.04.2018 12:00","14337","14337"
"29.04.2018 12:00 - 29.04.2018 13:00","14198","14198"
